simID	f0	f1	f2	f3	S_m	thetapi_m	thetaw_m	thetah_m	hprime_m	tajimasd_m	numSing_m	hapdiv_m	rsq_m	D_m	Dprime_m	div_m	S_sd	thetapi_sd	thetaw_sd	thetah_sd	hprime_sd	tajimasd_sd	numSing_sd	hapdiv_sd	rsq_sd	D_sd	Dprime_sd	div_sd
sim1	0.2	0.4	0.2	0.2	315.62	0.00217	0.00259	0.00083	0.8668	-0.50129	0.0	0.743	0.12417	0.00909	-0.45053	0.75477	79.38893	0.00053	0.00065	0.00044	0.19594	0.55948	0.0	0.04264	0.02721	0.00706	0.18664	0.00254
sim2	0.4	0.05	0.4	0.15	290.21	0.00187	0.00239	0.0007	0.83329	-0.67426	0.0	0.73642	0.11744	0.00873	-0.46246	0.75709	67.58972	0.0004	0.00056	0.00033	0.15282	0.49433	0.0	0.04971	0.02506	0.007	0.18595	0.00309
sim3	0.0	0.0	0.5	0.5	128.63	0.0008	0.00106	0.00031	0.7807	-0.74789	0.0	0.74264	0.11333	0.00741	-0.50432	0.5116	29.67353	0.00018	0.00024	0.00017	0.18002	0.48434	0.0	0.0554	0.02637	0.00641	0.19593	0.00302
sim4	0.45	0.35	0.15	0.05	460.67	0.00297	0.00379	0.00103	0.87177	-0.69317	0.0	0.73459	0.11908	0.00896	-0.46543	0.82229	99.80304	0.00067	0.00082	0.00051	0.18233	0.50229	0.0	0.05401	0.02579	0.00652	0.16844	0.00249
sim5	0.35	0.45	0.15	0.05	452.89	0.00304	0.00372	0.0011	0.87946	-0.56694	0.0	0.74685	0.12009	0.01002	-0.43745	0.82026	103.94316	0.00066	0.00085	0.00054	0.185	0.5484	0.0	0.04751	0.02838	0.00772	0.19216	0.00244
sim6	0.15	0.5	0.25	0.1	363.8	0.00234	0.00299	0.00086	0.8422	-0.66723	0.0	0.73613	0.11847	0.00997	-0.44008	0.78931	86.19006	0.0005	0.00071	0.00043	0.17195	0.51266	0.0	0.04466	0.02434	0.00864	0.22439	0.00286
sim7	0.05	0.8	0.15	0.0	469.83	0.00311	0.00386	0.00105	0.90766	-0.61478	0.0	0.75025	0.11771	0.00888	-0.47119	0.83103	99.55153	0.00071	0.00082	0.00052	0.17904	0.58934	0.0	0.04113	0.02671	0.00732	0.17704	0.00298
sim8	0.05	0.05	0.45	0.45	146.8	0.00096	0.00121	0.00036	0.84511	-0.62278	0.0	0.73514	0.12016	0.00911	-0.44933	0.56365	32.46537	0.00023	0.00027	0.00018	0.16625	0.54944	0.0	0.04649	0.02474	0.00817	0.19964	0.00272
sim9	0.15	0.55	0.25	0.05	394.28	0.0025	0.00324	0.00088	0.85476	-0.74262	0.0	0.73946	0.11445	0.00827	-0.47045	0.80757	79.72644	0.00055	0.00066	0.0004	0.12918	0.45104	0.0	0.05231	0.01989	0.00541	0.14717	0.00218
sim10	0.4	0.05	0.45	0.1	305.95	0.00192	0.00251	0.00069	0.82947	-0.76643	0.0	0.742	0.11229	0.0079	-0.4816	0.77229	62.59254	0.00043	0.00051	0.00034	0.1494	0.48618	0.0	0.05178	0.01977	0.00668	0.18791	0.00294
sim11	0.1	0.1	0.45	0.35	184.29	0.0012	0.00151	0.00047	0.81987	-0.63453	0.0	0.73567	0.12016	0.00933	-0.44865	0.63762	41.69739	0.00026	0.00034	0.00025	0.19922	0.49091	0.0	0.05279	0.02559	0.0072	0.19827	0.00301
sim12	0.0	0.05	0.9	0.05	227.12	0.00134	0.00187	0.00049	0.7669	-0.90509	0.0	0.74245	0.10929	0.00717	-0.51097	0.74469	48.383	0.00026	0.0004	0.00023	0.14423	0.48172	0.0	0.04744	0.02253	0.00589	0.17589	0.00241
sim13	0.0	0.65	0.2	0.15	339.79	0.00224	0.00279	0.00086	0.84444	-0.6325	0.0	0.73761	0.11858	0.00882	-0.45776	0.77305	71.17914	0.00052	0.00059	0.00049	0.17641	0.52957	0.0	0.05412	0.02749	0.00625	0.16513	0.00282
sim14	0.2	0.55	0.25	0.0	421.81	0.00266	0.00347	0.00101	0.81128	-0.73296	0.0	0.74122	0.11328	0.00893	-0.46211	0.82471	90.94306	0.00054	0.00075	0.00051	0.17327	0.49197	0.0	0.04815	0.0236	0.00756	0.19773	0.00256
sim15	0.0	0.05	0.1	0.85	52.81	0.00038	0.00043	0.00015	0.84418	-0.39144	0.0	0.72943	0.13012	0.01089	-0.39404	0.21671	12.8768	0.00012	0.00011	8e-05	0.21274	0.56689	0.0	0.05379	0.03483	0.0099	0.22473	0.00281
sim16	0.05	0.2	0.5	0.25	205.53	0.00131	0.00169	0.0005	0.80722	-0.72583	0.0	0.73766	0.11809	0.00855	-0.4724	0.68958	41.16497	0.00028	0.00034	0.00027	0.17937	0.48357	0.0	0.04864	0.02449	0.00718	0.19601	0.00308
sim17	0.15	0.7	0.0	0.15	475.89	0.00345	0.00391	0.0013	0.93169	-0.37018	0.0	0.74131	0.12974	0.01061	-0.412	0.79824	96.25428	0.00071	0.00079	0.00059	0.216	0.48267	0.0	0.04681	0.02644	0.00738	0.1783	0.00266
sim18	0.2	0.2	0.2	0.4	209.5	0.00149	0.00172	0.00063	0.84376	-0.40583	0.0	0.7419	0.12814	0.01039	-0.416	0.64744	47.60432	0.00035	0.00039	0.00032	0.21119	0.50617	0.0	0.04436	0.02627	0.00857	0.21137	0.00301
sim19	0.0	0.2	0.55	0.25	208.47	0.00134	0.00171	0.00053	0.79038	-0.67994	0.0	0.74198	0.11644	0.00896	-0.46857	0.68193	42.37768	0.00028	0.00035	0.00027	0.17119	0.50981	0.0	0.04979	0.02739	0.00912	0.2361	0.00321
sim20	0.45	0.15	0.05	0.35	343.75	0.00244	0.00283	0.00086	0.94633	-0.4196	0.0	0.74085	0.13246	0.01081	-0.41534	0.71019	78.3796	0.00057	0.00064	0.00039	0.19844	0.5181	0.0	0.04961	0.02884	0.00716	0.16121	0.00282
sim21	0.15	0.25	0.2	0.4	214.92	0.00147	0.00177	0.00054	0.88019	-0.52563	0.0	0.74553	0.12243	0.00881	-0.45542	0.64574	46.99767	0.00032	0.00039	0.00026	0.18712	0.49225	0.0	0.04992	0.02355	0.00599	0.16449	0.00299
sim22	0.25	0.45	0.05	0.25	375.0	0.00268	0.00308	0.00102	0.90964	-0.41116	0.0	0.74862	0.12918	0.00975	-0.42677	0.7539	79.3206	0.00063	0.00065	0.0005	0.19321	0.54343	0.0	0.04366	0.02775	0.00799	0.19077	0.00278
sim23	0.45	0.25	0.05	0.25	403.05	0.003	0.00331	0.00115	0.94786	-0.29335	0.0	0.74036	0.13852	0.01247	-0.37754	0.75838	82.37502	0.00074	0.00068	0.00058	0.21351	0.60577	0.0	0.05014	0.03203	0.01006	0.21105	0.00254
sim24	0.05	0.55	0.0	0.4	307.32	0.00229	0.00253	0.00089	0.93328	-0.27515	0.0	0.74475	0.13832	0.01193	-0.38674	0.67967	67.64269	0.00052	0.00056	0.00042	0.21058	0.55304	0.0	0.04356	0.0298	0.0098	0.20633	0.00301
sim25	0.0	0.25	0.35	0.4	180.16	0.00115	0.00148	0.00039	0.86603	-0.6722	0.0	0.74117	0.11974	0.00886	-0.46979	0.61692	44.17475	0.00026	0.00036	0.00019	0.18426	0.54086	0.0	0.0459	0.02838	0.00745	0.19231	0.00302
sim26	0.65	0.2	0.05	0.1	566.79	0.0041	0.00466	0.00155	0.91804	-0.37309	0.0	0.742	0.13278	0.01057	-0.42649	0.81993	110.27214	0.00082	0.00091	0.00081	0.2208	0.50748	0.0	0.04683	0.02404	0.0076	0.18505	0.00239
sim27	0.85	0.1	0.05	0.0	695.67	0.00491	0.00572	0.00156	0.99646	-0.47041	0.0	0.742	0.12696	0.01041	-0.42377	0.85314	137.83859	0.00114	0.00113	0.00071	0.1772	0.42182	0.0	0.05092	0.02194	0.006	0.1451	0.00211
sim28	0.05	0.85	0.05	0.05	504.65	0.00343	0.00415	0.00125	0.89946	-0.53416	0.0	0.74586	0.12173	0.00972	-0.4394	0.82495	110.52358	0.00072	0.00091	0.00055	0.17416	0.50188	0.0	0.04898	0.02972	0.00937	0.20086	0.00256
sim29	0.1	0.25	0.3	0.35	217.07	0.0015	0.00178	0.00057	0.87289	-0.47088	0.0	0.7363	0.12774	0.01116	-0.41802	0.65952	52.50306	0.00037	0.00043	0.0003	0.20117	0.6087	0.0	0.05193	0.03562	0.0114	0.23883	0.00297
sim30	0.0	0.0	1.0	0.0	232.57	0.00133	0.00191	0.00046	0.76174	-1.00186	0.0	0.73623	0.10612	0.00712	-0.5098	0.7568	47.53207	0.00026	0.00039	0.00021	0.13232	0.34635	0.0	0.05089	0.0197	0.00513	0.16741	0.0026
sim31	0.05	0.4	0.1	0.45	220.79	0.00159	0.00181	0.0006	0.917	-0.37285	0.0	0.73922	0.13526	0.0125	-0.37833	0.62835	49.81771	0.00038	0.00041	0.00028	0.17589	0.59215	0.0	0.04319	0.03577	0.01164	0.22912	0.00301
sim32	0.05	0.15	0.35	0.45	163.98	0.00107	0.00135	0.00039	0.84399	-0.63705	0.0	0.74155	0.12154	0.00898	-0.45344	0.58201	36.05943	0.00025	0.0003	0.00019	0.1762	0.50881	0.0	0.04779	0.0272	0.00793	0.19833	0.00323
sim33	0.7	0.05	0.0	0.25	519.87	0.00395	0.00427	0.00141	1.00506	-0.25096	0.0	0.74163	0.14091	0.01206	-0.38947	0.7732	105.05243	0.00105	0.00086	0.00078	0.20883	0.58578	0.0	0.04801	0.03219	0.00862	0.17312	0.00258
sim34	0.2	0.1	0.5	0.2	243.12	0.00151	0.002	0.00058	0.78037	-0.75367	0.0	0.74465	0.11335	0.00717	-0.5144	0.71846	52.81859	0.0003	0.00043	0.00029	0.16417	0.53598	0.0	0.04799	0.02299	0.00581	0.17644	0.00303
sim35	0.45	0.0	0.25	0.3	271.7	0.00185	0.00223	0.0007	0.86837	-0.56348	0.0	0.7441	0.12292	0.00909	-0.45553	0.70403	61.93309	0.00048	0.00051	0.00037	0.20707	0.49494	0.0	0.05165	0.02903	0.00797	0.19084	0.00329
sim36	0.55	0.0	0.4	0.05	340.69	0.00212	0.0028	0.00079	0.80516	-0.77421	0.0	0.74169	0.11056	0.008	-0.47911	0.799	74.04567	0.00045	0.00061	0.00042	0.17424	0.49454	0.0	0.05323	0.02164	0.00666	0.18269	0.0028
sim37	0.55	0.15	0.3	0.0	406.24	0.00266	0.00334	0.00107	0.80858	-0.67476	0.0	0.74076	0.11623	0.00913	-0.45484	0.82505	84.59543	0.00063	0.0007	0.00051	0.18119	0.42888	0.0	0.04932	0.02283	0.00712	0.19193	0.00236
sim38	0.1	0.35	0.25	0.3	251.62	0.00164	0.00207	0.00064	0.80706	-0.66092	0.0	0.74526	0.11944	0.00853	-0.47157	0.697	54.70782	0.00036	0.00045	0.00034	0.19991	0.47323	0.0	0.04608	0.02137	0.00634	0.1605	0.00271
sim39	0.15	0.35	0.15	0.35	262.85	0.00187	0.00216	0.00079	0.85476	-0.39996	0.0	0.74254	0.12912	0.01031	-0.42299	0.68494	59.4781	0.00044	0.00049	0.00037	0.20571	0.55262	0.0	0.0548	0.02505	0.00937	0.22292	0.00301
sim40	0.1	0.25	0.15	0.5	183.81	0.00131	0.00151	0.00051	0.8893	-0.43005	0.0	0.73594	0.13511	0.01085	-0.40623	0.58358	37.28668	0.00033	0.00031	0.00031	0.20691	0.53697	0.0	0.0515	0.03068	0.00776	0.18806	0.00339
sim41	0.3	0.45	0.1	0.15	431.98	0.00306	0.00355	0.00115	0.91187	-0.43289	0.0	0.74959	0.1264	0.00906	-0.44383	0.7895	84.61917	0.00063	0.0007	0.00047	0.19977	0.50978	0.0	0.04689	0.028	0.00689	0.1638	0.00257
sim42	0.25	0.2	0.55	0.0	324.24	0.00198	0.00266	0.00073	0.7992	-0.81682	0.0	0.74554	0.10863	0.00786	-0.49237	0.79952	60.23978	0.00035	0.0005	0.00031	0.16241	0.46223	0.0	0.04755	0.02246	0.00719	0.19825	0.00253
sim43	0.35	0.4	0.0	0.25	453.52	0.00338	0.00373	0.00123	0.97113	-0.30275	0.0	0.7308	0.13915	0.01313	-0.36508	0.76335	109.58586	0.00094	0.0009	0.00067	0.19421	0.56494	0.0	0.04461	0.02949	0.00962	0.20009	0.00305
sim44	0.15	0.0	0.75	0.1	231.38	0.00139	0.0019	0.00051	0.78192	-0.85758	0.0	0.73609	0.11146	0.00774	-0.50025	0.73856	47.27093	0.00025	0.00039	0.00029	0.17956	0.49735	0.0	0.04849	0.02725	0.00688	0.1939	0.00293
sim45	0.1	0.2	0.4	0.3	215.19	0.00138	0.00177	0.00052	0.82399	-0.67852	0.0	0.73007	0.11952	0.01081	-0.40881	0.67502	52.32314	0.0003	0.00043	0.00024	0.16751	0.50677	0.0	0.04674	0.02541	0.00782	0.21299	0.00257
sim46	0.35	0.2	0.05	0.4	297.21	0.00214	0.00244	0.00078	0.94706	-0.39862	0.0	0.74165	0.13662	0.01152	-0.40014	0.67848	64.66109	0.00054	0.00053	0.00037	0.20521	0.49831	0.0	0.05217	0.03148	0.0086	0.17814	0.00274
sim47	0.25	0.4	0.05	0.3	353.05	0.00258	0.0029	0.00101	0.91887	-0.34608	0.0	0.74133	0.13499	0.01127	-0.39081	0.72969	68.13361	0.00056	0.00056	0.00046	0.21342	0.46777	0.0	0.04786	0.02599	0.00738	0.1784	0.00295
sim48	0.05	0.2	0.55	0.2	223.18	0.00142	0.00183	0.00055	0.79963	-0.69807	0.0	0.74408	0.1126	0.00844	-0.46559	0.70929	50.36541	0.00028	0.00041	0.00026	0.17466	0.46829	0.0	0.05124	0.02257	0.00711	0.19727	0.00273
