simID	f0	f1	f2	f3	S_m	thetapi_m	thetaw_m	thetah_m	hprime_m	tajimasd_m	numSing_m	hapdiv_m	rsq_m	D_m	Dprime_m	div_m	S_sd	thetapi_sd	thetaw_sd	thetah_sd	hprime_sd	tajimasd_sd	numSing_sd	hapdiv_sd	rsq_sd	D_sd	Dprime_sd	div_sd
sim1	0.35	0.25	0.25	0.15	769.35	0.01439	0.04442	0.00634	0.30374	-1.96168	0.0	0.73903	0.01833	0.00095	-0.80468	0.2112	131.38634	0.0048	0.00759	0.00388	0.09187	0.33226	0.0	0.0154	0.00565	0.00092	0.09549	0.00838
sim2	0.6	0.35	0.0	0.05	75.88	0.00706	0.00438	0.00384	1.12057	1.73795	0.0	0.70261	0.22017	0.02408	-0.17056	0.17904	24.64958	0.00287	0.00142	0.00247	0.40058	1.13217	0.0	0.02766	0.07025	0.02037	0.33856	0.00783
sim3	0.9	0.05	0.0	0.05	55.33	0.00508	0.00319	0.00275	1.09184	1.68737	0.0	0.6911	0.22743	0.02677	-0.13154	0.1562	17.37295	0.00154	0.001	0.00137	0.37045	1.05485	0.0	0.03428	0.06962	0.02162	0.3319	0.00732
sim4	0.75	0.05	0.1	0.1	1462.57	0.034	0.08445	0.01616	0.35216	-1.74422	0.0	0.74234	0.02241	0.00151	-0.76126	0.23564	262.14154	0.01183	0.01514	0.00857	0.14135	0.38709	0.0	0.01618	0.00839	0.00131	0.11359	0.01593
sim5	0.7	0.2	0.0	0.1	231.65	0.0208	0.01338	0.01051	1.2176	1.54473	0.0	0.72392	0.1942	0.0249	-0.19456	0.22456	78.43718	0.00968	0.00453	0.0077	0.43183	1.23153	0.0	0.01955	0.08082	0.02617	0.37623	0.01604
sim6	0.25	0.6	0.0	0.15	1163.59	0.02849	0.06719	0.01194	0.40856	-1.70636	0.0	0.74435	0.02403	0.00138	-0.76978	0.21935	200.93941	0.01108	0.0116	0.00808	0.13732	0.35194	0.0	0.01479	0.00835	0.00127	0.10351	0.0158
sim7	0.7	0.05	0.1	0.15	1287.64	0.02792	0.07435	0.01319	0.33088	-1.83102	0.0	0.74162	0.01955	0.00117	-0.78321	0.23066	218.66332	0.01056	0.01263	0.00817	0.14549	0.38777	0.0	0.01738	0.00707	0.00102	0.10053	0.0134
sim8	0.2	0.6	0.05	0.15	1010.35	0.02138	0.05834	0.00928	0.34674	-1.84677	0.0	0.74343	0.02003	0.00101	-0.80942	0.22039	195.78536	0.00799	0.0113	0.007	0.10713	0.3874	0.0	0.01541	0.00711	0.00105	0.09651	0.01393
sim9	0.45	0.35	0.0	0.2	1318.27	0.02747	0.07612	0.01132	0.35205	-1.88145	0.0	0.74465	0.01932	0.00118	-0.79495	0.22145	212.55306	0.01336	0.01227	0.00883	0.13919	0.40877	0.0	0.01575	0.00829	0.00128	0.10807	0.01723
sim10	0.55	0.35	0.0	0.1	1552.56	0.0477	0.08964	0.02219	0.46784	-1.39072	0.0	0.74422	0.03198	0.00233	-0.70953	0.22019	240.78547	0.01795	0.0139	0.01324	0.16873	0.46792	0.0	0.01739	0.01547	0.00235	0.13052	0.02284
sim11	0.9	0.0	0.0	0.1	130.47	0.01145	0.00753	0.00609	1.12246	1.46549	0.0	0.71998	0.19143	0.02298	-0.21355	0.21086	38.79432	0.00505	0.00224	0.0045	0.32755	1.28271	0.0	0.02033	0.0758	0.02154	0.34477	0.01081
sim12	0.4	0.35	0.0	0.25	1203.44	0.02131	0.06949	0.00914	0.29265	-2.03348	0.0	0.74478	0.01561	0.00082	-0.82545	0.21385	204.87381	0.00839	0.01183	0.00698	0.11322	0.31533	0.0	0.01674	0.0043	0.00078	0.09136	0.01331
sim13	0.4	0.5	0.0	0.1	1363.06	0.04104	0.0787	0.01733	0.49772	-1.40036	0.0	0.74157	0.03151	0.00234	-0.70031	0.21998	236.76984	0.01345	0.01367	0.00973	0.18177	0.45929	0.0	0.01619	0.01154	0.00197	0.12235	0.01648
sim14	0.1	0.3	0.45	0.15	517.5	0.00917	0.02988	0.00408	0.28165	-2.00752	0.0	0.74101	0.01769	0.0008	-0.82418	0.18172	85.48276	0.00314	0.00494	0.00263	0.08811	0.33203	0.0	0.01701	0.00625	0.00109	0.09844	0.00903
sim15	0.1	0.65	0.15	0.1	887.35	0.02007	0.05124	0.00911	0.35802	-1.75451	0.0	0.73657	0.02329	0.00144	-0.76459	0.21924	184.26202	0.0062	0.01064	0.00518	0.11187	0.37419	0.0	0.01637	0.00883	0.00125	0.10517	0.01037
sim16	0.05	0.1	0.25	0.6	248.08	0.00347	0.01432	0.00133	0.24508	-2.17352	0.0	0.74032	0.01437	0.00046	-0.85505	0.1174	39.49726	0.00098	0.00228	0.00082	0.07618	0.20782	0.0	0.01682	0.00287	0.00052	0.06622	0.00632
sim17	0.05	0.25	0.15	0.55	348.65	0.00468	0.02013	0.00159	0.25119	-2.22114	0.0	0.7434	0.0141	0.00042	-0.86374	0.14111	57.99188	0.00125	0.00335	0.00094	0.06993	0.16747	0.0	0.0162	0.00262	0.00036	0.05217	0.00672
